OPE ID,School,State,SchoolType,Recipients,LoansOriginated,FundsOriginated,TotalDisbursements,FundsDisbursed
001051,UNIVERSITY OF ALABAMA,AL,Public,21603,21984,183421755,21984,93566361
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,Public,13800,14442,153238609,14442,69873050
001009,AUBURN UNIVERSITY,AL,Public,13285,13304,128478950,13437,65981618
001057,UNIVERSITY OF SOUTH ALABAMA,AL,Public,11888,12248,109038668,12248,53545848
001047,TROY UNIVERSITY,AL,Public,10600,10719,69191067,10719,25806085
001036,SAMFORD UNIVERSITY,AL,Private-Nonprofit,4091,4113,56982503,4113,30335596
001024,UNIVERSITY OF WEST ALABAMA,AL,Public,4221,4347,44890267,4347,18244159
042267,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,AL,Private-Nonprofit,1105,1114,44522820,1114,22257026
001020,JACKSONVILLE STATE UNIVERSITY,AL,Public,7092,7232,40852088,7232,20818662
001050,TUSKEGEE UNIVERSITY,AL,Private-Nonprofit,3253,3396,36141309,3397,18117259
001016,UNIVERSITY OF NORTH ALABAMA,AL,Public,4988,5064,32067689,5071,16420202
001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,Public,4796,4894,31197894,4894,15609492
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,Public,4863,4999,28953577,4999,14900000
041215,COLUMBIA SOUTHERN UNIVERSITY,AL,Proprietary,4185,4385,23224257,5380,9426327
008310,AUBURN UNIVERSITY MONTGOMERY,AL,Public,4104,4206,22441747,4206,11252216
001005,ALABAMA STATE UNIVERSITY,AL,Public,2655,2715,16647267,2775,8560726
001003,FAULKNER UNIVERSITY,AL,Private-Nonprofit,2499,2559,16126782,2648,7927302
001004,UNIVERSITY OF MONTEVALLO,AL,Public,2348,2447,13843256,2447,6930397
001008,ATHENS STATE UNIVERSITY,AL,Public,1830,1830,10824670,1830,5586646
025034,AMRIDGE UNIVERSITY,AL,Private-Nonprofit,796,796,9300512,796,3206487
001029,UNIVERSITY OF MOBILE,AL,Private-Nonprofit,1403,1432,8153722,1541,4525794
001028,MILES COLLEGE,AL,Private-Nonprofit,1742,1877,7769631,1877,3834694
001013,CALHOUN COMMUNITY COLLEGE,AL,Public,1847,1849,7460463,2296,3690758
001041,SPRING HILL COLLEGE,AL,Private-Nonprofit,1226,1270,7192745,1270,3565411
001046,TALLADEGA COLLEGE,AL,Private-Nonprofit,1457,1457,7179202,1462,3599081
001019,HUNTINGDON COLLEGE,AL,Private-Nonprofit,1222,1251,6830390,1251,3466952
007871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,AL,Public,1508,1549,6464650,1553,3252024
001060,COASTAL ALABAMA COMMUNITY COLLEGE,AL,Public,1720,1744,6395482,1744,3201336
001022,JEFFERSON STATE COMMUNITY COLLEGE,AL,Public,1653,1667,5965439,1667,2986310
001012,BIRMINGHAM-SOUTHERN COLLEGE,AL,Private-Nonprofit,941,966,5958795,966,3021532
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,Public,1148,1194,4618879,1194,2316935
001044,STILLMAN COLLEGE,AL,Private-Nonprofit,916,968,4227984,968,2111885
001033,OAKWOOD UNIVERSITY,AL,Private-Nonprofit,665,673,3411358,675,1674033
023410,FORTIS COLLEGE,AL,Proprietary,666,670,2594257,747,1004060
011462,UNIVERSITY OF ALASKA ANCHORAGE,AK,Public,2766,2778,14985220,2778,8092005
001063,UNIVERSITY OF ALASKA FAIRBANKS,AK,Public,1773,1829,10557390,1831,5345947
001065,UNIVERSITY OF ALASKA SOUTHEAST,AK,Public,380,380,2357968,380,1251904
001081,ARIZONA STATE UNIVERSITY,AZ,Public,69706,71530,567643466,71530,286708163
001074,GRAND CANYON UNIVERSITY,AZ,Proprietary,44086,44446,305945501,44974,160746852
001083,UNIVERSITY OF ARIZONA (THE),AZ,Public,18627,19234,194740526,19234,98745550
020988,UNIVERSITY OF PHOENIX,AZ,Proprietary,27169,27172,164198738,29340,83094928
001082,NORTHERN ARIZONA UNIVERSITY,AZ,Public,16094,16333,118125956,16424,61416842
021136,AMERICAN INTERCONTINENTAL UNIVERSITY,AZ,Proprietary,7204,7230,35706023,7756,14540990
022171,PIMA MEDICAL INSTITUTE,AZ,Proprietary,4469,4682,20260810,4725,10791130
008221,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary,3417,3418,16531490,3667,8577790
031150,ARIZONA COLLEGE,AZ,Proprietary,2047,2055,9433896,2269,4780741
021005,UNIVERSAL TECHNICAL INSTITUTE,AZ,Proprietary,1745,1747,8596731,1917,4508138
001108,UNIVERSITY OF ARKANSAS,AR,Public,12127,12862,81764373,12862,41741758
001090,ARKANSAS STATE UNIVERSITY,AR,Public,8139,8412,63427111,8412,31961906
001101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,Public,5530,5665,40551579,5665,20413742
001092,UNIVERSITY OF CENTRAL ARKANSAS,AR,Public,6422,6863,36406916,6863,18562024
001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,Public,1951,2091,32739124,2091,16859865
001097,HARDING UNIVERSITY,AR,Private-Nonprofit,3221,3267,27323774,3324,16661861
042568,ARKANSAS COLLEGES OF HEALTH EDUCATION,AR,Private-Nonprofit,763,764,26347562,772,13148790
001089,ARKANSAS TECH UNIVERSITY,AR,Public,5023,5219,23493991,5219,11792474
001110,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,Public,2911,2926,13137752,2951,6566285
001107,SOUTHERN ARKANSAS UNIVERSITY,AR,Public,1350,1371,10097663,1423,5193386
001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,Public,2144,2285,8763150,2285,4382158
001098,HENDERSON STATE UNIVERSITY,AR,Public,1413,1449,8616428,1449,4480190
020753,UNIVERSITY OF ARKANSAS - PULASKI TECHNICAL COLLEGE,AR,Public,2197,2214,8437458,2214,4218793
001100,JOHN BROWN UNIVERSITY,AR,Private-Nonprofit,1223,1223,8087588,1223,3746028
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,Public,1211,1244,7144181,1244,3574871
001102,OUACHITA BAPTIST UNIVERSITY,AR,Private-Nonprofit,1031,1047,5731817,1048,2927791
030633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,Public,1034,1047,4092329,1047,1101513
031052,BAPTIST HEALTH COLLEGE LITTLE ROCK,AR,Private-Nonprofit,648,772,2943738,1034,1830274
012105,NATIONAL PARK COLLEGE,AR,Public,619,629,2758695,629,1387138
001099,HENDRIX COLLEGE,AR,Private-Nonprofit,521,529,2586549,529,1291746
001103,PHILANDER SMITH COLLEGE,AR,Private-Nonprofit,564,569,2496468,569,1246936
001093,CENTRAL BAPTIST COLLEGE,AR,Private-Nonprofit,440,440,2225253,457,1138005
001088,LYON COLLEGE,AR,Private-Nonprofit,510,510,2191081,510,1044963
001094,UNIVERSITY OF THE OZARKS,AR,Private-Nonprofit,293,294,1381823,294,695919
001328,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,Private-Nonprofit,21178,21450,242900907,21452,238572497
024827,WESTERN UNIVERSITY OF HEALTH SCIENCES,CA,Private-Nonprofit,4465,4711,168367585,4711,79226727
001315,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,Public,13022,13337,164399484,13337,64759933
010149,PEPPERDINE UNIVERSITY,CA,Private-Nonprofit,7342,7661,148372870,8808,66936375
001313,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Public,12436,12482,121743986,13134,48830851
001312,"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,Public,8749,9776,115898628,9777,59768211
001329,UNIVERSITY OF THE PACIFIC,CA,Private-Nonprofit,5615,5738,109136400,5770,53826954
001125,CALIFORNIA BAPTIST UNIVERSITY,CA,Private-Nonprofit,12096,12408,101095115,12408,47616496
001164,CHAPMAN UNIVERSITY,CA,Private-Nonprofit,6648,6749,98078983,6855,46193010
001325,UNIVERSITY OF SAN FRANCISCO,CA,Private-Nonprofit,7269,7457,97091052,7458,49218432
001314,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,Public,10007,10898,94788183,10898,33596478
011649,LOYOLA MARYMOUNT UNIVERSITY,CA,Private-Nonprofit,5839,5859,87702905,5966,44313077
001317,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,Public,12165,12755,85309704,12755,28561459
001117,AZUSA PACIFIC UNIVERSITY,CA,Private-Nonprofit,5886,6152,81073321,6189,36779292
001218,LOMA LINDA UNIVERSITY,CA,Private-Nonprofit,2870,2946,80220181,3145,37938368
001153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,Public,12136,12318,77675637,12318,40381448
041426,TOURO UNIVERSITY,CA,Private-Nonprofit,2475,2605,75971403,2605,35835310
010395,UNIVERSITY OF SAN DIEGO,CA,Private-Nonprofit,5401,5587,75359601,5587,38082174
001316,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",CA,Public,12112,12305,75194959,12305,26425956
001139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,Public,12533,12696,74640396,12707,38970591
001151,SAN DIEGO STATE UNIVERSITY,CA,Public,9500,9759,73163735,9759,37194424
041618,BRANDMAN UNIVERSITY,CA,Private-Nonprofit,5743,5744,70996579,5901,31487234
001155,SAN JOSE STATE UNIVERSITY,CA,Public,9423,9595,68817490,9595,35684955
007531,ACADEMY OF ART UNIVERSITY,CA,Proprietary,6921,7067,64842645,7073,33338174
001154,SAN FRANCISCO STATE UNIVERSITY,CA,Public,9359,9458,62980389,9461,31825063
001137,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,Public,10846,10960,62436802,10963,32345807
031713,UNIVERSITY OF ST. AUGUSTINE FOR HEALTH SCIENCES,CA,Proprietary,2387,2400,61915215,2400,22710127
001143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,Public,8068,8180,61680771,8192,21107477
001150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,Public,10555,10660,60759892,10696,32269958
021553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,CA,Private-Nonprofit,2685,2688,59190793,2710,25059522
036983,WEST COAST UNIVERSITY,CA,Proprietary,6849,7112,54721111,7294,27794066
011117,ALLIANT INTERNATIONAL UNIVERSITY,CA,Proprietary,2065,2101,51767118,2101,22735995
007012,SAMUEL MERRITT UNIVERSITY,CA,Private-Nonprofit,2342,2401,50273092,2401,23961895
001144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,Public,9016,9047,49699478,9082,25283601
001326,SANTA CLARA UNIVERSITY,CA,Private-Nonprofit,3123,3240,48074214,3241,20278633
001881,ASHFORD UNIVERSITY,CA,Proprietary,7755,7802,47571366,8022,24420829
001140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,Public,6754,6754,45250418,6773,23145026
001216,UNIVERSITY OF LA VERNE,CA,Private-Nonprofit,4623,4723,44505411,4723,22503888
030113,"CALIFORNIA STATE UNIVERSITY, SAN MARCOS",CA,Public,6764,6843,38875802,6843,20199218
001142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,Public,5826,5956,38221462,5976,19641527
001146,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,Public,8305,8542,36758184,8542,19318929
001138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,Public,5835,5893,36076081,5893,18945363
001320,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,Public,5041,5238,35934946,5238,12063528
001147,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,Public,6056,6155,34966132,6155,17850770
001319,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,Public,1157,1184,34570142,1593,13867564
021383,PALO ALTO UNIVERSITY,CA,Private-Nonprofit,1053,1053,31584993,1055,9994806
001141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,Public,4818,4825,31042026,4894,15890126
003947,"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",CA,Public,1189,1189,31034850,1212,15638704
001321,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,Public,5541,5565,30755488,5565,10408716
012154,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,CA,Private-Nonprofit,1274,1297,29814859,1300,15080980
038133,NORTHCENTRAL UNIVERSITY,CA,Proprietary,1769,1770,28041243,3295,7715496
001295,SOUTHWESTERN LAW SCHOOL,CA,Private-Nonprofit,922,995,27598621,995,13913185
001122,BIOLA UNIVERSITY,CA,Private-Nonprofit,3552,3552,26200339,3552,12968843
001133,CALIFORNIA LUTHERAN UNIVERSITY,CA,Private-Nonprofit,2930,3017,26037942,3027,11679743
007993,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",CA,Public,4347,4412,25395411,4412,13580242
001322,UNIVERSITY OF REDLANDS,CA,Private-Nonprofit,3188,3191,24985117,3192,12209810
001253,FRESNO PACIFIC UNIVERSITY,CA,Private-Nonprofit,3414,3450,22887104,3450,12084895
001243,MOUNT SAINT MARY'S UNIVERSITY,CA,Private-Nonprofit,2626,2645,21929033,2645,10127270
001305,STANFORD UNIVERSITY,CA,Private-Nonprofit,767,770,20944857,772,7045435
021206,SAYBROOK UNIVERSITY,CA,Private-Nonprofit,832,834,20706806,929,10494092
001262,POINT LOMA NAZARENE UNIVERSITY,CA,Private-Nonprofit,2720,2741,20446566,2741,11438214
001156,SONOMA STATE UNIVERSITY,CA,Public,3183,3219,20295572,3230,10376252
001169,CLAREMONT GRADUATE UNIVERSITY,CA,Private-Nonprofit,882,919,19413846,919,10061829
001149,HUMBOLDT STATE UNIVERSITY,CA,Public,3698,3710,19244110,3751,10170281
001157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,Public,3052,3101,17714242,3101,9324526
013103,CALIFORNIA WESTERN SCHOOL OF LAW,CA,Private-Nonprofit,649,675,17066597,675,9152923
039803,CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS,CA,Public,2725,2806,15301966,2808,7927899
041271,"UNIVERSITY OF CALIFORNIA, MERCED",CA,Public,2949,2955,15161480,2955,7602432
032603,"CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",CA,Public,2353,2464,14678785,2464,7738730
001302,SAINT MARY'S COLLEGE OF CALIFORNIA,CA,Private-Nonprofit,1556,1559,14600821,1652,7814105
010365,CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,CA,Private-Nonprofit,804,807,14471165,807,8099073
001196,DOMINICAN UNIVERSITY OF CALIFORNIA,CA,Private-Nonprofit,1648,1662,14046053,1662,8415273
042788,LOS ANGELES PACIFIC UNIVERSITY,CA,Private-Nonprofit,1971,1971,13652495,1971,4631968
001293,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,Private-Nonprofit,2222,2222,13611494,2222,6260686
001230,MARSHALL B. KETCHUM UNIVERSITY,CA,Private-Nonprofit,448,458,13367833,458,4600940
001229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,CA,Private-Nonprofit,1009,1502,13321193,1502,13257394
020705,CONCORDIA UNIVERSITY,CA,Private-Nonprofit,1954,1967,13128593,1967,6737061
038533,KECK GRADUATE INSTITUTE OF APPLIED LIFE SCIENCES,CA,Private-Nonprofit,544,552,12892114,552,6472571
040373,LOS ANGELES FILM SCHOOL (THE),CA,Proprietary,2454,2500,12098428,2711,6316454
001132,CALIFORNIA INSTITUTE OF THE ARTS,CA,Private-Nonprofit,885,906,12080267,906,6153782
001205,GOLDEN GATE UNIVERSITY,CA,Private-Nonprofit,611,611,11866594,623,6214638
020961,FIELDING GRADUATE UNIVERSITY,CA,Private-Nonprofit,478,480,11530524,483,4093022
008846,WRIGHT INSTITUTE (THE),CA,Private-Nonprofit,426,429,11482200,429,3852102
001343,WOODBURY UNIVERSITY,CA,Private-Nonprofit,1316,1340,10284185,1340,5040807
025593,UNITED EDUCATION INSTITUTE,CA,Proprietary,2031,2140,9748786,2150,4888738
022285,LIFE CHIROPRACTIC COLLEGE WEST,CA,Private-Nonprofit,377,393,9744862,619,5648716
